drugname,species,rule_id,rule_version,rule,original_rule,inferred,source
Ertapenem,Pseudomonas aeruginosa,AMRrules-PSA0056,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74436.1'))",mexA,Resistant (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Ertapenem,Pseudomonas aeruginosa,AMRrules-PSA0057,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74437.1'))",mexB,Resistant (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Ertapenem,Pseudomonas aeruginosa,AMRrules-PSA0058,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAG03816.1'))",oprM,Resistant (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Kanamycin,Pseudomonas aeruginosa,AMRrules-PSA0060,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AGY72832.1, CAA62365.1'))",aph(3')-IIb,Resistant (wildtype),"AMRrules (PMID: 6307974, 14638496)"
Kanamycin,Pseudomonas aeruginosa,AMRrules-PSA0061,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'BAA34299.1, AAF14522.1'))",mexX,Resistant (wildtype),"AMRrules (PMID: 10543738, 11083635, 12483565)"
Kanamycin,Pseudomonas aeruginosa,AMRrules-PSA0062,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'BAA34300.1'))",mexY,Resistant (wildtype),"AMRrules (PMID: 10543738, 11083635, 12483565)"
Levofloxacin,Pseudomonas aeruginosa,AMRrules-PSA0063,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AEQ93536.1'))",crpP,Intermediate (wildtype),AMRrules (PMID: 34001507)
Meropenem,Pseudomonas aeruginosa,AMRrules-PSA0065,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74436.1'))",mexA,Susceptible (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Meropenem,Pseudomonas aeruginosa,AMRrules-PSA0066,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74437.1'))",mexB,Susceptible (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Meropenem,Pseudomonas aeruginosa,AMRrules-PSA0067,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAG03816.1'))",oprM,Susceptible (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Neomycin,Pseudomonas aeruginosa,AMRrules-PSA0068,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AGY72832.1, CAA62365.1'))",aph(3')-IIb,Resistant (wildtype),"AMRrules (PMID: 6307974, 14638496)"
Norfloxacin,Pseudomonas aeruginosa,AMRrules-PSA0069,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74436.1'))",mexA,Resistant (wildtype),"AMRrules (PMID: 8226684, 8540696, 11083635, 12483565)"
Norfloxacin,Pseudomonas aeruginosa,AMRrules-PSA0070,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74437.1'))",mexB,Resistant (wildtype),"AMRrules (PMID: 8226684, 8540696, 11083635, 12483565)"
